Vg,Id
-3.00,11.8739E-12
-2.90,-207.5192E-12
-2.80,115.3867E-12
-2.70,225.5770E-12
-2.60,122.8738E-12
-2.50,-105.3699E-12
-2.40,159.8269E-12
-2.30,122.8688E-12
-2.20,
-2.10,-123.8780E-12
-2.00,281.7332E-12
-1.90,284.8407E-12
-1.80,100.7845E-12
-1.70,294.3643E-12
-1.60,261.4289E-12
-1.50,224.3853E-12
-1.40,-87.5959E-12
-1.30,107.6682E-12
-1.20,132.9656E-12
-1.10,202.3362E-12
-1.00,-12.2208E-12
-0.90,107.7085E-12
-0.80,161.6320E-12
-0.70,250.6985E-12
-0.60,-56.3869E-12
-0.50,105.9988E-12
-0.40,93.2772E-12
-0.30,68.9000E-12
-0.20,-215.9562E-12
-0.10,187.9904E-12
0.00,212.2822E-12
0.10,210.0295E-12
0.20,1.2098E-9
0.30,129.6671E-12
0.40,249.2755E-12
0.50,1.0477E-9
0.60,24.4202E-9
0.70,33.4416E-9
0.80,189.7043E-9
0.90,3.0899E-6
1.00,3.3373E-6
1.10,13.7589E-6
1.20,17.1168E-6
1.30,28.2909E-6
1.40,37.4052E-6
1.50,48.6031E-6
1.60,58.1948E-6
1.70,68.1276E-6
1.80,80.6133E-6
1.90,86.9873E-6
2.00,98.8561E-6
2.10,104.7508E-6
2.20,116.3230E-6
2.30,121.4810E-6
2.40,132.3922E-6
2.50,137.3488E-6
2.60,147.6670E-6
2.70,152.3316E-6
2.80,162.0443E-6
2.90,166.7980E-6
3.00,176.5209E-6
3.10,180.7025E-6
3.20,190.1005E-6
3.30,194.0679E-6
3.40,203.9459E-6
3.50,206.9863E-6
3.60,215.8252E-6
3.70,219.4967E-6
3.80,225.5646E-6
3.90,234.2540E-6
4.00,237.5098E-6
4.10,245.2521E-6
4.20,249.0602E-6
4.30,257.2087E-6
4.40,260.3236E-6
4.50,268.2851E-6
4.60,271.2902E-6
4.70,278.9634E-6
4.80,281.9647E-6
4.90,289.6365E-6
5.00,292.4026E-6
5.10,299.7227E-6
5.20,302.5769E-6
5.30,307.5851E-6
5.40,314.5463E-6
5.50,317.4667E-6
5.60,324.4805E-6
5.70,327.0772E-6
5.80,333.7226E-6
5.90,336.5102E-6
6.00,343.1652E-6
6.10,345.7167E-6
6.20,352.4878E-6
6.30,354.7305E-6
6.40,361.3997E-6
6.50,363.6016E-6
6.60,370.1650E-6
6.70,372.2633E-6
6.80,378.6489E-6
6.90,380.7604E-6
7.00,387.2940E-6
7.10,389.0643E-6
7.20,395.5068E-6
7.30,397.2324E-6
7.40,403.5229E-6
7.50,405.2756E-6
7.60,409.1707E-6
7.70,415.3150E-6
7.80,416.9569E-6
7.90,423.3528E-6
8.00,424.5842E-6